id_nestbox;coord_x;coord_y;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_iq;noise_m;noise_iq;soft_manag_area;trafic;woodyveg_volume;woodyveg_sd;vegetation_area;herbaceous_area;built_area;age_class;site;strata_div
DIJ-030;855431,8523;6692831,15;4;6;15;5;71,42012125;161,1828543;67,9812397;98,24465767;8;8;55,6199913;9,820652008;0;5330125,46;196265,5851;6,246181091;33932;11178;12662;2;sq_creux_denfer;2
DIJ-031;855454,485;6692994,798;2;3;13;7;25,30831971;120,6585488;45,55266148;66,4108294;6;6;52,12905502;10,04602814;0;3632663,395;153238,7315;5,071371072;28644;8414;17821;2;sq_jean_bouin;2
DIJ-032;855464,4398;6692939,033;3;4,5;14;6,5;64,54325476;122,2813942;55,67884782;101,7333893;6;7;54,55065155;10,90771103;0;5273542,588;169340,8379;5,671732007;28647;8251;16082;2;sq_jean_bouin;2
DIJ-033;855483,1585;6692974,193;3;3;13;6,5;51,99764575;130,0360185;48,77074521;74,42286659;6;7;53,2319603;10,57211685;0;4747467,282;143310,4897;5,078561719;27772;8599;16860;1;sq_jean_bouin;2
DIJ-034;853386,9198;6694164,715;3;5;15,5;8,25;75,60904027;140,7703238;75,12707717;69,60424054;8;9;54,78852081;10,01737595;0;2317814,665;75111,52768;3,368303149;21969;8720;16319;1;sq_eugene_spuller;3
DIJ-035;853360,5932;6694142,762;3;4;15;6;70,33958022;121,5992304;72,85477867;68,59938528;8;8;54,35318375;9,215435028;0;2274344,913;80955,68155;3,502733592;23497;9091;15722;1;sq_eugene_spuller;3
DIJ-036;853737,9585;6694547,356;5;9;30;5,75;98,68453386;201,8485812;101,9295764;70,21416295;11;14;53,3175354;10,14568329;0;1572555,382;71624,32042;3,443809788;22324;8714;18926;1;sq_ph_dard;2
DIJ-037;853772,6204;6694539,623;4,5;9,25;30;6,25;96,34432152;133,262602;98,15044931;64,23285716;11;14;52,97842789;9,99446106;0;1469390,988;72514,59158;3,613384761;22307;8885;19142;1;sq_ph_dard;2
DIJ-038;853774,1541;6694580,626;5;9;31;5;100,0730771;201,0961887;114,1548501;98,2055172;11;12;52,92802048;10,06319809;0;1545570,016;72332,92159;3,392369519;23288;9428;17398;1;sq_ph_dard;2
DIJ-039;853738,9172;6694582,445;5;9;30,5;5;104,7930211;236,1250583;116,1852791;95,20687858;11;13;53,08382797;10,30148697;0;1745463,683;73555,72948;3,394729994;23178;9091;16804;1;sq_ph_dard;2
DIJ-040;853172,9818;6692326,456;9;9;31;10;45,51176927;89,12802754;47,63354863;51,28038833;21;18;58,41993332;9,744804382;803,05309;3104311,899;153644,5477;5,777879781;24148;8914;8337;0;port_du_canal;3
