id_nestbox;site;coord_x;coord_y;year;species;breeding_window;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;mass;tarsus_length;wing_length;father_id;father_cond;mother_id;mother_cond;cumdd_30;min_t_before;min_t_between;mean_winter_t;sd_winter_t;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_iq;noise_m;noise_iq;trafic;age_class;strata_div;woodyveg_volume;woodyveg_sd;vegetation_area;woody_area;herbaceous_area;soft_manag_area;open_area;built_area
DIJ-023B;bd_strasbourg;855667,5656;6693343,380;2021;CC;early_2021;2021-03-29;2021-05-02;10;10,00000000000000;8;8,56000000000000;15,0775000000000;31,5625000000000;NA;NA;NA;NA;167,550000000000;-0,670533333333334;-1,1516411111111122;5,74497832817337;3,77193716082082;6,0;7,00;24,0;5,50;67,036753040;152,983978300;150,063402200;167,677298300;14;13;57,64204025;11,358795170;5179793,461000;1;3;141867,06670;4,035704180;32639;20044;12595;0,000000000;27485;10229
DIJ-025;prison;854851,2002;6692270,295;2021;PM;early_2021;2021-03-30;2021-05-02;9;8,00000000000000;1;10,12000000000000;15,6800000000000;27,0000000000000;NA;-0,30677899483513199;8877010;-0,9387546083458144;223,930000000000;0,470000000000000;-1,1299999999999999;6,23950884955752;3,81838961756656;4,0;6,00;15,0;10,00;38,541824470;183,077148300;53,968512470;192,188623700;6;10;53,17441940;16,322998050;5124584,921000;2;2;69004,78885;4,547766630;18170;9883;8287;0,000000000;32706;19477
DIJ-026;prison;854843,4932;6692326,892;2021;CC;late_2021;2021-04-14;2021-05-21;12;12,00000000000000;6;6,03000000000000;13,3566666666667;23,7500000000000;NA;NA;NA;NA;260,360000000000;-1,130000000000000;1,7800000000000000;6,23950884955752;3,81838961756656;4,0;7,00;15,0;6,00;52,205431110;245,915495900;97,713964210;248,531046000;7;10;55,95565796;14,898811340;5933167,800000;2;2;81100,10609;4,384951349;19314;11365;7949;0,000000000;32714;18325
DIJ-028;sq_creux_denfer;855467,0810;6692746,365;2019;PM;late_2019;2019-04-05;2019-05-10;7;7,00000000000000;0;NA;NA;NA;NA;0,14240253996038682;NA;0,6108591332155616;271,740000000000;-0,676000000000000;0,0510000000000000;5,74497832817337;3,77193716082082;4,0;7,50;18,0;5,50;49,300114290;113,520934300;54,127576870;83,781795480;9;8;55,07812881;8,947917938;4149246,586000;2;2;194363,21060;6,290769837;34717;22696;12021;367,815334300;23483;12153
DIJ-028;sq_creux_denfer;855467,0810;6692746,365;2021;PM;early_2021;2021-03-30;2021-05-01;7;7,00000000000000;7;12,78571428571428;17,8100000000000;36,7142857142857;8877006;0,15110813471314891;8877007;-0,4919005493290321;212,860000000000;-0,590000000000000;-1,4700000000000000;5,52811203319502;3,93854016206889;4,0;7,50;18,0;5,50;49,300114290;113,520934300;54,127576870;83,781795480;9;8;55,07812881;8,947917938;4149246,586000;2;2;194363,21060;6,290769837;34717;22696;12021;367,815334300;23483;12153
DIJ-028;sq_creux_denfer;855467,0810;6692746,365;2022;PM;late_2022;2022-04-02;2022-05-05;4;3,00000000000000;3;15,58666666666667;19,0233333333333;44,0000000000000;NA;-0,21183770887588815;8381527;-0,0239890486925585;280,950000000000;-1,990000000000000;-1,5000000000000000;5,52811203319502;3,93854016206889;4,0;7,50;18,0;5,50;49,300114290;113,520934300;54,127576870;83,781795480;9;8;55,07812881;8,947917938;4149246,586000;2;2;194363,21060;6,290769837;34717;22696;12021;367,815334300;23483;12153
DIJ-030;sq_creux_denfer;855431,8523;6692831,150;2019;PM;late_2019;2019-04-08;2019-05-13;9;8,00000000000000;4;12,30000000000000;NA;NA;NA;0,24637079417413990;NA;0,7023368171308552;267,150000000000;-0,676000000000000;0,0510000000000000;5,74497832817337;3,77193716082082;4,0;6,00;15,0;5,00;71,420121250;161,182854300;67,981239700;98,244657670;8;8;55,61999130;9,820652008;5330125,460000;2;2;196265,58510;6,246181091;33932;22754;11178;0,000000000;23759;12662
DIJ-030;sq_creux_denfer;855431,8523;6692831,150;2022;CC;late_2022;2022-04-06;2022-05-11;7;7,00000000000000;5;10,19200000000000;16,3120000000000;32,0000000000000;NA;NA;NA;NA;272,800000000000;-1,990000000000000;0,7400000000000000;5,52811203319502;3,93854016206889;4,0;6,00;15,0;5,00;71,420121250;161,182854300;67,981239700;98,244657670;8;8;55,61999130;9,820652008;5330125,460000;2;2;196265,58510;6,246181091;33932;22754;11178;0,000000000;23759;12662
DIJ-031;sq_jean_bouin;855454,4850;6692994,798;2019;PM;early_2019;2019-03-27;2019-04-30;9;9,00000000000000;7;17,57714285714286;18,6000000000000;47,0000000000000;NA;0,15908532587217367;NA;0,4391834921656741;266,690000000000;-0,676000000000000;0,0510000000000000;5,74497832817337;3,77193716082082;2,0;3,00;13,0;7,00;25,308319710;120,658548800;45,552661480;66,410829400;6;6;52,12905502;10,046028140;3632663,395000;2;2;153238,73150;5,071371072;28644;20230;8414;0,000000000;23888;17821
DIJ-032;sq_jean_bouin;855464,4398;6692939,033;2020;CC;early_2020;2020-03-29;2020-05-03;9;9,00000000000000;9;11,51500000000000;16,8700000000000;NA;NA;NA;NA;NA;249,140000000000;-0,032000000000000;-0,0320000000000000;5,74497832817337;3,77193716082082;3,0;4,50;14,0;6,50;64,543254760;122,281394200;55,678847820;101,733389300;6;7;54,55065155;10,907711030;5273542,588000;2;2;169340,83790;5,671732007;28647;20396;8251;0,000000000;25624;16082
DIJ-032;sq_jean_bouin;855464,4398;6692939,033;2021;CC;early_2021;2021-03-31;2021-05-06;10;8,00000000000000;8;10,26625000000000;17,7237500000000;36,7500000000000;NA;NA;NA;NA;220,380000000000;-0,590000000000000;-1,4700000000000000;5,52811203319502;3,93854016206889;3,0;4,50;14,0;6,50;64,543254760;122,281394200;55,678847820;101,733389300;6;7;54,55065155;10,907711030;5273542,588000;2;2;169340,83790;5,671732007;28647;20396;8251;0,000000000;25624;16082
DIJ-033;sq_jean_bouin;855483,1585;6692974,193;2019;PM;late_2019;2019-04-13;2019-05-15;9;8,00000000000000;5;13,50400000000000;NA;NA;NA;0,02760161260426855;NA;0,7556191322311719;277,570000000000;0,329000000000000;0,0510000000000000;5,74497832817337;3,77193716082082;3,0;3,00;13,0;6,50;51,997645750;130,036018500;48,770745210;74,422866590;6;7;53,23196030;10,572116850;4747467,282000;1;2;143310,48970;5,078561719;27772;19173;8599;0,000000000;25721;16860
DIJ-036;sq_ph_dard;853737,9585;6694547,356;2020;PM;late_2020;2020-04-08;2020-05-10;9;9,00000000000000;7;12,12500000000000;19,6750000000000;NA;NA;-0,55423549106819270;7636298;0,2212419940614097;283,940000000000;-0,088000000000000;4,4800000000000004;5,91113105726872;3,72956499571859;5,0;9,00;30,0;5,75;98,684533860;201,848581200;101,929576400;70,214162950;11;14;53,31753540;10,145683290;1572555,382000;1;2;71624,32042;3,443809788;22324;13610;8714;0,000000000;29103;18926
DIJ-036;sq_ph_dard;853737,9585;6694547,356;2021;PM;late_2021;2021-04-05;2021-04-23;7;0,00000000000000;0;NA;NA;NA;NA;-0,75690460321642150;NA;0,2095669187528294;240,010000000000;-0,730000000000000;-2,0200000000000000;5,39321576763485;3,82756655873986;5,0;9,00;30,0;5,75;98,684533860;201,848581200;101,929576400;70,214162950;11;14;53,31753540;10,145683290;1572555,382000;1;2;71624,32042;3,443809788;22324;13610;8714;0,000000000;29103;18926
DIJ-037;sq_ph_dard;853772,6204;6694539,623;2021;PM;early_2021;2021-04-03;2021-05-06;6;5,00000000000000;5;13,08800000000000;19,2300000000000;40,1000000000000;8876509;-1,60257494497241959;NA;0,2736269416501712;235,010000000000;-0,730000000000000;-2,0200000000000000;5,39321576763485;3,82756655873986;4,5;9,25;30,0;6,25;96,344321520;133,262602000;98,150449310;64,232857160;11;14;52,97842789;9,994461060;1469390,988000;1;2;72514,59158;3,613384761;22307;13422;8885;0,000000000;28904;19142
DIJ-038;sq_ph_dard;853774,1541;6694580,626;2020;PM;early_2020;2020-03-12;2020-04-14;9;0,00000000000000;0;NA;NA;NA;NA;-0,51928800069568026;NA;0,1363591604679874;226,560000000000;-0,395000000000000;-0,0880000000000000;5,91113105726872;3,72956499571859;5,0;9,00;31,0;5,00;100,073077100;201,096188700;114,154850100;98,205517200;11;12;52,92802048;10,063198090;1545570,016000;1;2;72332,92159;3,392369519;23288;13860;9428;0,000000000;29667;17398
DIJ-039;sq_ph_dard;853738,9172;6694582,445;2021;PM;late_2021;2021-04-23;2021-05-10;6;0,00000000000000;0;NA;NA;NA;NA;-0,58897443722078235;NA;-0,0479862767308783;272,010000000000;-2,020000000000000;2,9300000000000002;5,39321576763485;3,82756655873986;5,0;9,00;30,5;5,00;104,793021100;236,125058300;116,185279100;95,206878580;11;13;53,08382797;10,301486970;1745463,683000;1;2;73555,72948;3,394729994;23178;14087;9091;0,000000000;30371;16804
DIJ-040;port_du_canal;853172,9818;6692326,456;2020;PM;early_2020;2020-03-23;2020-04-29;11;11,00000000000000;10;14,26000000000000;18,4100000000000;NA;8382543;-0,80584653469036749;NA;-0,3207516906764134;254,910000000000;-0,648000000000000;-0,3950000000000000;5,78057411504425;3,64153668413190;9,0;9,00;31,0;10,00;45,511769270;89,128027540;47,633548630;51,280388330;21;18;58,41993332;9,744804382;3104311,899000;0;3;153644,54770;5,777879781;24148;15234;8914;803,053090000;37868;8337
