id_nestbox;year;date;laying_date;incubation_date;hatching_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length
DIJ-051;2019;02/05/2019;28/03/2019;NA;NA;8;5;3;0;NA;NA;PM;14,70000000000000;NA;NA
DIJ-051;2020;29/04/2020;31/03/2020;NA;19/04/2020;7;7;0;0;NA;NA;PM;NA;NA;NA
DIJ-051;2022;15/05/2022;12/04/2022;19/04/2022;02/05/2022;9;9;0;0;NA;NA;PM;NA;NA;NA
DIJ-052;2021;05/05/2021;01/04/2021;07/04/2021;22/04/2021;8;8;7;0;8876504;8876503;PM;14,06857142857143;17,9871428571429;37,1428571428571
DIJ-053;2019;04/05/2019;02/04/2019;NA;NA;8;8;7;0;NA;NA;PM;13,70857142857143;NA;NA
DIJ-053;2022;18/04/2022;24/03/2022;31/03/2022;NA;9;0;0;0;NA;NA;PM;NA;NA;NA
DIJ-054;2019;04/05/2019;27/03/2019;NA;NA;10;10;8;0;NA;NA;PM;12,42375000000000;NA;NA
DIJ-059;2022;03/05/2022;30/03/2022;05/04/2022;20/04/2022;8;8;8;0;8876578;8876579;PM;12,79875000000000;17,6975000000000;37,0000000000000
DIJ-067;2019;09/05/2019;07/04/2019;NA;NA;8;8;7;0;NA;NA;PM;14,93000000000000;NA;NA
DIJ-068;2019;27/04/2019;25/03/2019;31/03/2019;14/04/2019;8;5;0;0;NA;NA;PM;NA;NA;NA
DIJ-068;2020;28/04/2020;25/03/2020;NA;NA;10;10;7;0;NA;NA;PM;12,52500000000000;18,2950000000000;NA
DIJ-071;2019;04/05/2019;27/03/2019;07/04/2019;22/04/2019;13;12;0;0;NA;NA;CC;NA;NA;NA
DIJ-071;2020;30/04/2020;25/03/2020;NA;NA;11;11;10;0;NA;NA;CC;8,81000000000000;16,3800000000000;NA
DIJ-071;2021;03/05/2021;28/03/2021;06/04/2021;20/04/2021;11;11;8;0;NA;NA;CC;10,00000000000000;16,7800000000000;33,6250000000000
DIJ-071;2022;26/04/2022;22/03/2022;31/03/2022;13/04/2022;11;11;10;0;NA;NA;CC;9,88400000000000;NA;36,1000000000000
DIJ-072;2019;13/05/2019;09/04/2019;NA;NA;9;7;6;0;8791247;8791432;CC;8,65166666666667;NA;NA
DIJ-072;2020;11/05/2020;06/04/2020;NA;NA;10;10;5;0;NA;NA;CC;8,47000000000000;15,2000000000000;NA
DIJ-072;2021;15/05/2021;02/04/2021;15/04/2021;02/05/2021;14;14;8;0;NA;NA;CC;8,70500000000000;15,4987500000000;32,3125000000000
DIJ-073;2020;18/05/2020;15/04/2020;NA;NA;9;8;3;0;NA;NA;CC;11,32000000000000;16,3250000000000;NA
DIJ-073;2022;18/04/2022;22/03/2022;29/03/2022;12/04/2022;9;8;0;0;NA;NA;PM;NA;NA;NA
DIJ-074;2021;26/04/2021;03/04/2021;13/04/2021;NA;12;0;0;0;NA;NA;CC;NA;NA;NA
DIJ-076;2019;14/05/2019;05/04/2019;NA;NA;12;12;4;0;NA;8791552;CC;8,98000000000000;NA;NA
DIJ-076;2020;11/05/2020;04/04/2020;NA;NA;12;11;9;0;NA;NA;CC;NA;16,0766666666667;NA
DIJ-079;2019;09/05/2019;05/04/2019;NA;NA;9;9;8;0;NA;NA;PM;14,32125000000000;NA;NA
DIJ-079;2021;27/04/2021;26/03/2021;02/04/2021;14/04/2021;9;9;8;0;8791928;8791929;PM;14,60875000000000;19,3087500000000;39,1250000000000
DIJ-079;2022;20/04/2022;29/03/2022;03/04/2022;NA;7;0;0;0;NA;NA;PM;NA;NA;NA
DIJ-080;2019;12/05/2019;02/04/2019;13/04/2019;29/04/2019;13;11;0;0;NA;NA;CC;NA;NA;NA
DIJ-081;2020;24/04/2020;NA;NA;12/04/2020;9;NA;0;0;NA;NA;PM;NA;NA;NA
DIJ-082;2020;11/05/2020;07/04/2020;NA;NA;9;9;6;0;NA;NA;CC;NA;16,8500000000000;NA
DIJ-082;2022;13/05/2022;07/04/2022;17/04/2022;30/04/2022;12;12;6;0;NA;NA;CC;NA;NA;NA
DIJ-083;2020;03/05/2020;31/03/2020;NA;NA;8;8;6;0;NA;8791854;PM;14,01500000000000;18,4850000000000;NA
