id_nestbox;site;year;breeding_window;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length;cumdd_30;min_t_before;min_t_between;mean_winter_t;sd_winter_t;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_sd;noise_m;noise_iq;trafic;age_class;strata_div;woodyveg_volume;woodyveg_sd;vegetation_area;woody_area;herbaceous_area;soft_manag_area;open_area;built_area
DIJ-017;chevreul;2022;early_2022;2022-03-28;2022-04-30;7;7;7;0;8877090;8877091;PM;13,80714285714286;18,5557142857143;40,8571428571429;NA;NA;NA;NA;NA;7;17,00;128;44;53,841823322116099;105,628601032256000;9594394789724;891563644316483;12;8,655895282380021;53572696685791;115252418518066;24624405959238;2;2;107340657028198;445795993595706;25764;15737;10027;0,00000000000000e+00;29498;15091
DIJ-019;chevreul;2022;late_2022;2022-04-09;2022-05-14;11;11;10;0;"NA";"NA";CC;9,12200000000000;16,1510000000000;37,6000000000000;NA;NA;NA;NA;NA;205;35,75;135;535;75,464389914852106;143,727727983530997;110266212897814;140306580128434;18;13,687750351958201;547200050354004;101551094055176;210923527097689;2;2;166126137313843;474205969142748;28873;18402;10471;0,00000000000000e+00;25285;16195
DIJ-020B;bd_strasbourg;2022;late_2022;2022-04-12;2022-05-15;9;9;7;0;"NA";"NA";CC;8,98571428571429;16,0442857142857;38,3571428571429;NA;NA;NA;NA;NA;7;11,00;56;37;39,056725910795997;113,654579967516000;912429800122849;117674397457465;11;6,762544716488190;551492729187012;134506645202637;623460848199353;1;3;156501457962036;511369745310702;35487;20367;15120;0,00000000000000e+00;23366;11500
DIJ-022B;bd_strasbourg;2022;late_2022;2022-04-06;2022-05-12;12;9;8;0;"NA";"NA";CC;9,43375000000000;16,4887500000000;37,4375000000000;NA;NA;NA;NA;NA;8;11,75;62;4075;60,740501488253997;117,063335646233000;9315977258993;125895031596529;12;7,424889365313990;56362247467041;123507652282715;577957377781834;0;1;144457459518433;469295499199296;32526;19539;12987;0,00000000000000e+00;25810;12017
DIJ-023B;bd_strasbourg;2021;early_2021;2021-03-29;2021-05-02;10;10;8;0;"NA";"NA";CC;8,56000000000000;15,0775000000000;31,5625000000000;NA;NA;NA;NA;NA;9;14,00;74;445;67,471962645981705;124,006785748807999;101137927654292;133423150476786;14;7,842996592780480;576420402526855;113587951660156;517979346111001;1;3;141867066696167;403570417951215;32639;20044;12595;0,00000000000000e+00;27485;10229
DIJ-023B;bd_strasbourg;2022;early_2022;2022-03-25;2022-04-15;10;0;0;0;"NA";"NA";CC;NA;NA;NA;NA;NA;NA;NA;NA;9;14,00;74;445;67,471962645981705;124,006785748807999;101137927654292;133423150476786;14;7,842996592780480;576420402526855;113587951660156;517979346111001;1;3;141867066696167;403570417951215;32639;20044;12595;0,00000000000000e+00;27485;10229
DIJ-025;prison;2021;early_2021;2021-03-30;2021-05-02;9;8;1;0;"NA";8877010;PM;10,12000000000000;15,6800000000000;27,0000000000000;NA;NA;NA;NA;NA;2;8,00;395;275;12,392882195069699;148,553228217581989;601293307650657;162696407862079;6;7,082699013906240;531744194030762;16322998046875;51245849208905;2;2;69004788848877;454776663047535;18170;9883;8287;0,00000000000000e+00;32706;19477
DIJ-026;prison;2021;late_2021;2021-04-14;2021-05-21;12;12;6;0;"NA";"NA";CC;6,03000000000000;13,3566666666667;23,7500000000000;NA;NA;NA;NA;NA;3;10,75;37;2675;21,661848807077099;211,750204753444990;743872583363893;162780399598205;7;7,199651445846760;559556579589844;14898811340332;593316780017552;2;2;811001060943604;438495134939028;19314;11365;7949;0,00000000000000e+00;32714;18325
DIJ-028;sq_creux_denfer;2019;late_2019;2019-04-05;2019-05-10;7;7;0;0;"NA";"NA";PM;NA;NA;NA;NA;NA;NA;NA;NA;5;8,00;56;225;22,974751687707300;98,275562908186302;569908099560219;607058216965518;9;5,976722122548880;550781288146973;894791793823242;414924658634296;2;2;194363210571289;629076983734742;34717;22696;12021;3,67815334334209e+02;23483;12153
DIJ-028;sq_creux_denfer;2021;early_2021;2021-03-30;2021-05-01;7;7;7;0;8877006;8877007;PM;12,78571428571428;17,8100000000000;36,7142857142857;NA;NA;NA;NA;NA;5;8,00;56;225;22,974751687707300;98,275562908186302;569908099560219;607058216965518;9;5,976722122548880;550781288146973;894791793823242;414924658634296;2;2;194363210571289;629076983734742;34717;22696;12021;3,67815334334209e+02;23483;12153
